Method,Name,Error,Occurrences
MQTT,publish:1:sensor/zone/zone-20250616210310-323/equip-20250616210310-323/UA10H-REAL-24634054/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210309-627/equip-20250616210309-627/UA10H-REAL-24097841/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210336-390/equip-20250616210336-390/UA10H-REAL-24748193/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210257-668/equip-20250616210257-668/UA10H-REAL-24602788/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210323-496/UA10H-REAL-24198651/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210311-377/equip-20250616210311-377/UA10H-REAL-24853118/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210304-427/equip-20250616210304-427/UA10H-REAL-24505694/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210228-190/equip-20250616210228-190/UA10H-REAL-24690437/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210357-330/equip-20250616210357-330/UA10H-REAL-24883715/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210346-405/UA10H-REAL-24604374/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210312-289/equip-20250616210312-289/UA10H-REAL-24918009/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210248-160/UA10H-REAL-24640004/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210324-320/equip-20250616210324-320/UA10H-REAL-24796963/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210358-778/UA10H-REAL-24550382/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210326-572/equip-20250616210326-572/UA10H-REAL-24545444/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210320-578/equip-20250616210320-578/UA10H-REAL-24954381/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210356-649/equip-20250616210356-649/UA10H-REAL-24845057/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210307-770/UA10H-REAL-24400743/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210322-795/equip-20250616210322-795/UA10H-REAL-24067116/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210344-711/equip-20250616210344-711/UA10H-REAL-24040159/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210241-471/UA10H-REAL-24232787/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210328-518/UA10H-REAL-24205750/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210317-794/UA10H-REAL-24812433/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210325-768/equip-20250616210325-768/UA10H-REAL-24585122/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210238-435/UA10H-REAL-24623179/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210348-690/equip-20250616210348-690/UA10H-REAL-24045910/pressure,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210355-222/UA10H-REAL-24997213/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210345-348/equip-20250616210345-348/UA10H-REAL-24912858/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210350-645/equip-20250616210350-645/UA10H-REAL-24318579/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210404-354/equip-20250616210404-354/UA10H-REAL-24011465/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210232-355/UA10H-REAL-24200233/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210351-496/equip-20250616210351-496/UA10H-REAL-24033677/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210246-245/equip-20250616210246-245/UA10H-REAL-24269909/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210259-270/UA10H-REAL-24190838/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210231-640/equip-20250616210231-640/UA10H-REAL-24390524/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210349-580/equip-20250616210349-580/UA10H-REAL-24680818/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210342-207/equip-20250616210342-207/UA10H-REAL-24871538/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210318-121/equip-20250616210318-121/UA10H-REAL-24056960/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210314-426/UA10H-REAL-24107185/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210327-484/equip-20250616210327-484/UA10H-REAL-24333939/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210245-272/equip-20250616210245-272/UA10H-REAL-24778801/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210230-839/equip-20250616210230-839/UA10H-REAL-24977135/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210330-926/equip-20250616210330-926/UA10H-REAL-24331118/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210400-774/equip-20250616210400-774/UA10H-REAL-24016509/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210301-504/UA10H-REAL-24396551/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210337-428/UA10H-REAL-24541682/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210254-303/UA10H-REAL-24219409/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210354-742/equip-20250616210354-742/UA10H-REAL-24098519/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210321-189/equip-20250616210321-189/UA10H-REAL-24285730/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210406-737/equip-20250616210406-737/UA10H-REAL-24514271/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210251-737/equip-20250616210251-737/UA10H-REAL-24573909/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
